symbol,entry_time,exit_time,entry_price,exit_price,type,pnl,status,outcome,confidence,regime
BTC-USD,2025-12-29 12:00:00,2025-12-30 12:00:00,87523.87617,88862.83528835459,short,-1.7313513707615538,closed,STOP_LOSS,0.5947567820549011,Chaotic
BTC-USD,2025-12-30 12:00:00,2025-12-30 16:00:00,87859.938055,89110.96781210191,short,-1.6253148984410646,closed,STOP_LOSS,0.5807488560676575,Chaotic
BTC-USD,2025-12-30 16:00:00,2025-12-31 20:00:00,88971.84182500001,87332.51413739765,short,1.6443666913376964,closed,TAKE_PROFIT,0.5726507902145386,Chaotic
BTC-USD,2025-12-31 20:00:00,2026-01-01 20:00:00,87498.079075,88794.72851288803,short,-1.6833995226493703,closed,STOP_LOSS,0.5553805828094482,Chaotic
BTC-USD,2026-01-01 20:00:00,2026-01-02 08:00:00,88346.95442499999,89436.16235686695,short,-1.4341083480409107,closed,STOP_LOSS,0.5914034843444824,Chaotic
BTC-USD,2026-01-02 08:00:00,2026-01-02 12:00:00,88813.181195,89884.59066072766,short,-1.4075694854783158,closed,STOP_LOSS,0.6115155816078186,Chaotic
BTC-USD,2026-01-02 12:00:00,2026-01-02 16:00:00,89458.198525,90583.37847067567,short,-1.459029517911194,closed,STOP_LOSS,0.6196430325508118,Chaotic
BTC-USD,2026-01-02 16:00:00,2026-01-03 20:00:00,89373.400945,90600.83357991313,short,-1.574749147460725,closed,STOP_LOSS,0.6310897469520569,Chaotic
BTC-USD,2026-01-03 20:00:00,2026-01-04 00:00:00,90078.708115,91283.250171535,short,-1.5385478364678558,closed,STOP_LOSS,0.6757339239120483,Chaotic
BTC-USD,2026-01-04 00:00:00,2026-01-04 04:00:00,90582.695995,91782.23408785393,short,-1.52557064873964,closed,STOP_LOSS,0.6867803335189819,Chaotic
BTC-USD,2026-01-04 04:00:00,2026-01-05 00:00:00,91191.16161,92413.79201015008,short,-1.5420741757675183,closed,STOP_LOSS,0.6771417856216431,Chaotic
BTC-USD,2026-01-05 00:00:00,2026-01-05 04:00:00,91483.96513499999,92575.9287393639,short,-1.394805632173114,closed,STOP_LOSS,0.6889596581459045,Chaotic
BTC-USD,2026-01-05 04:00:00,2026-01-05 16:00:00,92831.78089,94050.3891865522,short,-1.5140186401187112,closed,STOP_LOSS,0.6776872277259827,Chaotic
BTC-USD,2026-01-05 16:00:00,2026-01-06 16:00:00,93910.751135,92270.96196411313,short,1.5478605380316308,closed,TAKE_PROFIT,0.7008877396583557,Chaotic
BTC-USD,2026-01-06 16:00:00,2026-01-07 08:00:00,93602.16550500001,91908.21713233179,short,1.611541764971574,closed,TAKE_PROFIT,0.7079607248306274,Chaotic
BTC-USD,2026-01-07 08:00:00,2026-01-07 16:00:00,92832.69043500001,90820.3310934644,short,1.9698947767624837,closed,TAKE_PROFIT,0.6992113590240479,Chaotic
BTC-USD,2026-01-07 16:00:00,2026-01-13 12:00:00,91304.28502000001,92953.45998164994,short,-2.0080467266678332,closed,STOP_LOSS,0.6928383708000183,Chaotic
BTC-USD,2026-01-13 12:00:00,2026-01-13 16:00:00,91954.73963000001,93316.61463076113,short,-1.6825085484958862,closed,STOP_LOSS,0.6388214230537415,Chaotic
BTC-USD,2026-01-13 16:00:00,2026-01-13 20:00:00,93403.26500500001,94849.98679999249,short,-1.750447424626914,closed,STOP_LOSS,0.6291062831878662,Chaotic
BTC-USD,2026-01-13 20:00:00,2026-01-14 00:00:00,94179.72658,95650.4273857073,short,-1.7631511791048604,closed,STOP_LOSS,0.6221813559532166,Chaotic
BTC-USD,2026-01-14 00:00:00,2026-01-14 12:00:00,95366.293,96996.58114387107,short,-1.9112109327925038,closed,STOP_LOSS,0.6269447803497314,Chaotic
BTC-USD,2026-01-14 12:00:00,2026-01-14 16:00:00,94745.59350500001,96301.27976788803,short,-1.8436035614349988,closed,STOP_LOSS,0.5839948654174805,Chaotic
BTC-USD,2026-01-14 16:00:00,2026-01-16 12:00:00,96716.18771500001,94553.73362071007,short,2.038111943331391,closed,TAKE_PROFIT,0.5820848941802979,Chaotic
BTC-USD,2026-01-16 12:00:00,2026-01-19 00:00:00,95381.375455,93305.3877986203,short,1.9786891142249154,closed,TAKE_PROFIT,0.6222224235534668,Chaotic
BTC-USD,2026-01-19 00:00:00,2026-01-20 04:00:00,93626.30343,92154.13354603616,short,1.3739615897038784,closed,TAKE_PROFIT,0.7593696713447571,Chaotic
BTC-USD,2026-01-20 04:00:00,2026-01-20 08:00:00,92388.70254,90887.47896061419,short,1.426524414405093,closed,TAKE_PROFIT,0.7749541997909546,Chaotic
BTC-USD,2026-01-20 08:00:00,2026-01-20 16:00:00,91132.39100999999,89498.41474914175,short,1.5947627830149005,closed,TAKE_PROFIT,0.7651743292808533,Chaotic
BTC-USD,2026-01-20 16:00:00,2026-01-20 20:00:00,90639.607525,88921.27241124977,short,1.697684131509022,closed,TAKE_PROFIT,0.7497370839118958,Chaotic
BTC-USD,2026-01-20 20:00:00,2026-01-21 16:00:00,89680.89712,87847.77223901764,short,1.8460968442454644,closed,TAKE_PROFIT,0.7434036135673523,Chaotic
