timestamp,asset,direction,confidence,pct_change,strategy_type,stop_loss,take_profit
2025-05-27 10:27:37.643613,BTC-USD,long,89.58%,1.49%,scalp,SL:108152.92,TP:113093.92
2025-05-27 10:27:53.726480,ETH-USD,short,99.00%,-3.62%,swing,SL:2674.26,TP:2555.7
2025-05-27 10:33:18.125032,BTC-USD,long,89.77%,1.47%,scalp,SL:108140.73,TP:113081.17
2025-05-27 10:33:34.183938,ETH-USD,short,99.00%,-3.71%,swing,SL:2677.62,TP:2558.91
2025-05-27 10:38:58.654646,BTC-USD,long,88.80%,1.51%,scalp,SL:108164.71,TP:113106.25
2025-05-27 10:39:14.784549,ETH-USD,short,99.00%,-3.75%,swing,SL:2676.79,TP:2558.11
2025-05-27 10:44:39.227873,BTC-USD,long,89.42%,1.36%,scalp,SL:108034.47,TP:112970.06
2025-05-27 10:44:55.374554,ETH-USD,short,99.00%,-3.60%,swing,SL:2672.85,TP:2554.35
2025-05-27 10:50:19.756691,BTC-USD,long,90.45%,1.39%,scalp,SL:108102.38,TP:113041.07
2025-05-27 10:50:35.924781,ETH-USD,short,99.00%,-3.66%,swing,SL:2672.88,TP:2554.38
2025-05-27 11:56:46.681653,BTC-USD,long,88.68%,1.32%,scalp,SL:107989.66,TP:112923.2
2025-05-27 11:57:03.713168,ETH-USD,short,99.00%,-3.73%,swing,SL:2682.85,TP:2560.94
2025-05-27 12:07:49.989505,BTC-USD,long,89.78%,1.43%,scalp,SL:108118.96,TP:113058.4
2025-05-27 12:08:05.744750,ETH-USD,short,99.00%,-4.08%,swing,SL:2686.39,TP:2567.29
2025-05-27 12:13:29.604428,BTC-USD,long,91.21%,1.37%,scalp,SL:108086.79,TP:113024.76
2025-05-27 12:13:45.357434,ETH-USD,short,99.00%,-4.07%,swing,SL:2684.9,TP:2565.86
2025-05-27 12:19:09.266750,BTC-USD,long,89.94%,1.44%,scalp,SL:108141.98,TP:113082.47
2025-05-27 12:19:25.047882,ETH-USD,short,99.00%,-3.73%,swing,SL:2679.66,TP:2559.84
2025-05-27 12:24:48.922356,BTC-USD,long,90.91%,1.42%,scalp,SL:108142.86,TP:113083.4
2025-05-27 12:25:04.696350,ETH-USD,short,99.00%,-3.81%,swing,SL:2679.66,TP:2559.84
2025-05-27 16:32:24.547969,BTC-USD,long,91.60%,1.89%,scalp,SL:108626.19,TP:113588.81
2025-05-27 16:32:41.122469,ETH-USD,short,99.00%,-5.00%,swing,SL:2714.14,TP:2586.41
2025-05-27 16:38:05.322285,BTC-USD,long,90.94%,2.06%,scalp,SL:108781.78,TP:113751.51
2025-05-27 16:38:21.060095,ETH-USD,short,99.00%,-4.82%,swing,SL:2711.27,TP:2583.54
2025-05-27 16:43:44.946592,BTC-USD,long,92.21%,2.00%,scalp,SL:108774.04,TP:113743.42
2025-05-27 16:44:00.727812,ETH-USD,short,99.00%,-4.99%,swing,SL:2714.43,TP:2586.7
2025-05-27 16:49:24.602223,BTC-USD,long,92.86%,2.08%,scalp,SL:108896.68,TP:113871.65
2025-05-27 16:49:40.345657,ETH-USD,short,99.00%,-5.28%,swing,SL:2724.91,TP:2596.28
2025-05-27 16:55:04.262163,BTC-USD,long,93.23%,2.00%,scalp,SL:108810.3,TP:113781.33
2025-05-27 16:55:20.039831,ETH-USD,short,99.00%,-4.94%,swing,SL:2715.63,TP:2587.0
2025-05-27 17:00:43.936265,BTC-USD,long,92.52%,1.84%,scalp,SL:108620.79,TP:113583.16
2025-05-27 17:00:59.732552,ETH-USD,short,99.00%,-4.94%,swing,SL:2711.74,TP:2583.11
2025-05-27 17:06:23.686528,BTC-USD,long,93.91%,1.94%,scalp,SL:108747.57,TP:113715.73
2025-05-27 17:06:39.469973,ETH-USD,short,99.00%,-4.91%,swing,SL:2711.74,TP:2583.11
2025-05-27 17:12:03.339517,BTC-USD,long,93.28%,1.77%,scalp,SL:108556.23,TP:113515.65
2025-05-27 17:12:19.116832,ETH-USD,short,99.00%,-5.64%,swing,SL:2732.48,TP:2605.6
2025-05-27 17:17:43.040545,BTC-USD,long,94.47%,1.73%,scalp,SL:108547.0,TP:113506.0
2025-05-27 17:17:58.879463,ETH-USD,short,99.00%,-5.61%,swing,SL:2732.48,TP:2605.6
2025-05-27 17:23:22.779917,BTC-USD,long,93.10%,1.74%,scalp,SL:108497.01,TP:113453.73
2025-05-27 17:23:38.630029,ETH-USD,short,99.00%,-5.35%,swing,SL:2724.91,TP:2597.86
2025-05-28 12:31:46.117064,BTC-USD,long,84.59%,1.01%,scalp,SL:107427.86,TP:112335.73
2025-05-28 12:31:46.139740,BTC-USD,long,85.75%,0.96%,scalp,SL:107427.86,TP:112335.73
2025-05-28 12:32:02.796969,ETH-USD,short,99.00%,-4.74%,swing,SL:2711.57,TP:2591.36
2025-05-28 12:32:02.922392,ETH-USD,short,99.00%,-4.80%,swing,SL:2711.57,TP:2591.36
2025-05-28 12:37:27.050483,BTC-USD,long,85.39%,0.95%,scalp,SL:107386.24,TP:112292.21
2025-05-28 12:37:27.214216,BTC-USD,long,84.88%,0.95%,scalp,SL:107386.24,TP:112292.21
2025-05-28 12:37:42.765094,ETH-USD,short,99.00%,-4.55%,swing,SL:2710.26,TP:2590.1
2025-05-28 12:37:42.981462,ETH-USD,short,99.00%,-4.73%,swing,SL:2710.26,TP:2590.1
2025-05-28 12:43:06.590867,BTC-USD,long,85.78%,1.00%,scalp,SL:107438.06,TP:112346.4
2025-05-28 12:43:06.924786,BTC-USD,long,83.91%,1.02%,scalp,SL:107438.06,TP:112346.4
2025-05-28 12:43:22.338424,ETH-USD,short,99.00%,-4.92%,swing,SL:2715.21,TP:2594.83
2025-05-28 12:43:22.678318,ETH-USD,short,99.00%,-4.96%,swing,SL:2715.21,TP:2594.83
2025-05-28 12:48:46.170692,BTC-USD,long,84.90%,0.92%,scalp,SL:107343.67,TP:112247.7
2025-05-28 12:48:46.569765,BTC-USD,long,85.11%,0.91%,scalp,SL:107343.67,TP:112247.7
2025-05-28 12:49:01.911535,ETH-USD,short,99.00%,-4.76%,swing,SL:2712.21,TP:2591.97
2025-05-28 12:49:02.580440,ETH-USD,short,99.00%,-4.75%,swing,SL:2712.21,TP:2591.97
2025-05-28 12:54:25.736695,BTC-USD,long,85.41%,0.84%,scalp,SL:107288.08,TP:112189.57
2025-05-28 12:54:26.428102,BTC-USD,long,85.52%,0.85%,scalp,SL:107288.08,TP:112189.57
2025-05-28 12:54:41.456848,ETH-USD,short,99.00%,-4.56%,swing,SL:2704.37,TP:2584.47
2025-05-28 12:54:42.238689,ETH-USD,short,99.00%,-4.59%,swing,SL:2704.37,TP:2584.47
2025-05-28 13:00:07.417716,BTC-USD,long,85.20%,0.87%,scalp,SL:107300.65,TP:112202.71
2025-05-28 13:00:07.595076,BTC-USD,long,85.24%,0.87%,scalp,SL:107300.65,TP:112202.71
2025-05-28 13:00:23.149581,ETH-USD,short,99.00%,-4.61%,swing,SL:2706.22,TP:2586.24
2025-05-28 13:00:23.329620,ETH-USD,short,99.00%,-4.61%,swing,SL:2706.22,TP:2586.24
2025-05-28 13:05:47.040266,BTC-USD,long,84.57%,0.82%,scalp,SL:107227.69,TP:112126.42
